Model,Question,Factual_Accuracy,Hallucination,Socratic_Method,Citation_Quality,Format_Compliance,Total,Percentage
Qwen3-8B + Metacog KG,Q1,3,3,2,3,3,14,93.3%
Qwen3-8B + Metacog KG,Q2,3,3,3,2,3,14,93.3%
Qwen3-8B + Metacog KG,Q3,3,3,3,3,3,15,100.0%
Qwen3-8B + Metacog KG,Q4,3,3,3,3,3,15,100.0%
Qwen3-8B + Metacog KG,Q5,3,3,2,3,2,13,86.7%
Qwen3-8B + Metacog KG,TOTAL,15,15,13,14,14,71,94.7%
R1 Distill Qwen 14B,Q1,2,1,0,1,0,4,26.7%
R1 Distill Qwen 14B,Q2,2,2,1,1,2,8,53.3%
R1 Distill Qwen 14B,Q3,2,0,0,0,1,3,20.0%
R1 Distill Qwen 14B,Q4,3,2,2,2,2,11,73.3%
R1 Distill Qwen 14B,Q5,3,0,0,0,3,6,40.0%
R1 Distill Qwen 14B,TOTAL,12,5,3,4,8,32,42.7%
Qwen3-80B,Q1,3,2,3,2,3,13,86.7%
Qwen3-80B,Q2,3,3,2,2,3,13,86.7%
Qwen3-80B,Q3,2,2,2,2,3,11,73.3%
Qwen3-80B,Q4,3,2,2,3,3,13,86.7%
Qwen3-80B,Q5,2,2,3,2,2,11,73.3%
Qwen3-80B,TOTAL,13,11,12,11,14,61,81.3%
GPT-OSS 120B,Q1,3,3,1,2,3,12,80.0%
GPT-OSS 120B,Q2,3,2,2,3,3,13,86.7%
GPT-OSS 120B,Q3,3,3,2,2,2,12,80.0%
GPT-OSS 120B,Q4,3,2,2,2,3,12,80.0%
GPT-OSS 120B,Q5,3,3,1,3,3,13,86.7%
GPT-OSS 120B,TOTAL,15,13,8,12,14,62,82.7%

